fr,es,en,it,pt,de,zh,taxon
abricot,albaricoque&orejón,apricot,albicocca,alperce&damasco,aprikose,杏,1
ananas,piña,pineapple,ananas,ananás&abacaxi,ananas,菠蘿,1
avocat,aguacate,avocado,avocado,abacate,avocado,牛油果,1
baie de goji,baya de goji,goji berry,bacca di goji,bagas de goji,goji beere,枸杞,1
baies,bayas,berries,frutta di bosco,bagas,beeren,漿果,1
banane&plantain,plátano,banana&plantain,banana,banana,banane&wegerich,香蕉,1
bergamote,bergamota,bergamot,bergamotto,bergamota,bergamotte,佛手柑,1
canneberge,arándano rojo,cranberry,mirtillo rosso,oxicoco,cranberry,酸果蔓,1
carambole,carambola,carambola&star fruit,carambole,carambola,sternfrucht,楊桃,1
cassis,grosella negra,blackcurrant,ribes nero,groselha preta,schwarze johannisbeere,黑加侖子,1
cerise de terre&physalis,cereza de la tierra,groundcherry,physalis,cereja moída&fisális,gemahlene kirsche&physalis,地面櫻桃,1
cerise&bigarreau,cereza&morello,cherry&morello,ciliegia&amarena,cereja,kirsche&sauerkirsche,櫻桃,1
chayote,chayote,chayote,chayote,chuchu,chayote,佛手瓜,1
cherimoya&anone,chirimoya,cherimoya&anona,cherimoya,cherimolia,cherimoya,毛葉番荔枝,1
chili,chilli&ají&chile rojo,chili,chili,chili,chili,辣椒,1
citron,limón,lemon,limone,limão,zitrone,檸檬,1
clémentine,clementina,clementine,clementina,clementina,clementine,柑桔,1
coing,membrillo,quince,mela cotogna,marmelo,quitte,桲,1
cèdre,cedro,cedar,cedro,cedro,zeder,雪松,1
datte,dátil,date,datte&dattero,data,dattel,日期,1
figue,higo,fig,fico&fichi,figo,feige,圖,1
figue de barbarie,higo chumbo,prickly pear&sabra,fico d india&fichi d india,pera-espinhosa,feigenkaktus,花椒梨,1
fraise,fresa,strawberry,fragola,morango,erdbeere,草莓,1
fraise des bois,fresa salvaje,wild strawberry,fragola selvatica,morango silvestre,walderdbeere,野生草莓,1
framboise,frambuesa,raspberry,lampone,framboesa,himbeere,紅莓,1
fruit de la passion&maracuyá&grenadille,fruta de la pasión&maracuya,passion fruit&granadilla,frutto della passione,maracujá,passionsfrucht&maracuja,百香果,1
goyave,guayaba,guava,guava,goiaba,guave,番石榴,1
grenade,granada,pomegranate,melagrana,romã,granatapfel,石榴酸酯,1
groseille,grosella,currant,ribes,groselha,johannisbeere&stachelbeere,黑醋栗,1
kaki,caqui&persimon,persimmon,cachi&kaki,dióspiros&caqui,persimone,柿子,1
kiwi,kiwi,kiwi,kiwi,quivi,kiwi,獼猴桃,1
litchi,lychee,lychee,litchi,lichia,litschi,荔枝,1
mandarine,mandarina,tangerine&mandarin,mandarino,tangerina,mandarine,柑橘,1
mangue,mango,mango,mango,manga,mango,芒果,1
melon,melón,melon,melone,melão&meloa,melone,瓜,1
mirabelle&quetsche,mirabel,mirabel,mirabella,ameixa mirabel,mirabelle,米拉貝爾,1
myrtille&bleuet,arándano,blueberry,mirtillo,mirtilo,blaubeere&heidelbeere,藍莓,1
mûre,zarzamora&moras,blackberry,mora,amora,brombeere&maulbeere,黑莓,1
nectarine,nectarina,nectarine,nettarina,nectarina,nektarine,油桃,1
nèfle,níspero,loquat,nespolo,nêspera,nefle,qua,1
olive&olive noire&olive verte,aceituna&aceituna negra&aceituna verde,olive&black olive&green olive,oliva&oliva nera&oliva verde,azeitona&azeitona preta&azeitona verde,olive&schwarze olive&grüne olive,橄欖,1
orange&fleur d'oranger&agrume,naranja&flor de naranjo&agrios,orange&orange blossom&citrus fruit,arancia&arance&agrumi,laranja&flor de laranjeira&citros,orangen &orangenblute&zitrus,橙子,1
pamplemousse&pomelo,pomelo,grapefruit&pomelo&pomelit&oroblanco,pompelmo,toranja&pomelo,grapefruit&pampelmuse,柚子,1
papaye,papaya,papaya,papaia,mamão,papaya,木瓜,1
pastèque,sandia,watermelon,anguria&cocomero,melancia,wassermelone,西瓜,1
pignons de pin,piñón de pino&piñones,pine nut,pinoli,pinhões,pinienkerne,松子,1
piment d'espelette,pimiento de espelette,espelette pepper,pepe espelette,pimenta espeleta,espelette pfeffer,翡翠胡椒,1
piment de cayenne,pimienta de cayena,piment de cayenne,pepe di cayenna,pimenta-de-caiena,cayennepfeffer,卡宴顏料,1
piment&piment vert,guindilla&chile verde,green chile,peperoncino&peperoncino verde,chile verde,grüner chili,綠色智利,1
pitaya&fruit du dragon,pitaya,pitaya,pitaya,pitaya&fruta do dragão,pitaya&drachenfrucht,火龍果,1
poire,pera,pear,pera&pere,pera,birne,梨,1
poire asiatique,pera asiática,asian pear,pera asiatica,pera asiática,asiatische birne,沙梨，蘋果梨,1
pomelo chinois,pomelo chino,chinese pomelo,pomelo cinese,pomelo chines,chinesische pampelmuse,中國柚,1
pomme,manzana,apple,mela&mele,maca,apfel,蘋果,1
prune&pruneau,ciruela,plum&prune,prugna&susine&prune,ameixa,pflaume&zwetschge,李子,1
prunelle,endrino,sloe,prunelle,abrunho,schlehe,黑刺,1
pêche&brugnon,melocotón,peach,pesca&pesche,pêssego&pepita,pfirsich&nugget,桃子,1
raisin,uvas,grape,uva,uva,traube&weintraube,葡萄,1
raisin sec,uva pasa&uva seca,raisin&dried grapes,uva passa,uva passas,rosine,葡萄乾,1
reine claude,reina claude,greengage,regina claude,rainha claude,königin claude,青皮,1
rhubarbe,ruibarbo,rhubarb,rabarbaro,ruibarbo,rhabarber,大黃,1
sapotille&corossol,sapodilla,zapote&soursop,sapodilla,sapoti&graviola,sapodilla&soursop,扎波特,1
sureau, baya del saúco, elderberry, sambuco, sabugueiro,holunder&holunderblüte&holunderbeere, 接骨木,1
tamarin,tamarindo,tamarind,tamarindo,tamarindo,tamarinde,羅望子,1
tomate,tomate,tomato,pomodoro,tomate,tomate,番茄,1
tomate cerise,tomate cherry,cherry tomato,pomodoro ciliegia,tomate-cereja,kirschtomate,聖女果,1
umeboshi,umeboshi,salted plums,umeboshi,umeboshi,umeboshi,咸李子,1
yuzu,yuzu,yuzu,yuzu,yuzu,yuzu,柚子,1
églantier, escaramujo, rose hip, rosa canina,rosa-mosqueta,hagebutte, 玫瑰果,1
ail nouveau,ajo nuevo,new garlic,aglio nuovo,alho novo,neuer knoblauch,新大蒜,2
ail&ail blanc&ail rose,ajo&ajete,garlic,aglio,alho&alho branco&alho rosa,knoblauch&weißer knoblauch&rosa knoblauch&bärlauch,大蒜,2
arrowroot,arrurruz,arrowroot,arrowroot,araruta,pfeilwurzel,葛根,2
artichaut,alcachofa,artichoke,carciofo,alcachofra,artischocke,朝鮮薊,2
asperge,espárragos,asparagus,asparagi,espargo,spargel,蘆筍,2
asperge blanche,espárragos blancos,white asparagus,asparagi bianchi,espargo branco,weißer spargel,白蘆筍,2
asperge violette,espárragos morados,purple asparagus,asparagi viola,espargo roxo,purpur spargel,紫色蘆筍,2
aubergine,berenjena,eggplant,melanzane,beringela,aubergine,茄子,2
bardane,bardana,burdock,bardana,bardana,klette,牛d,2
betterave,remolacha,beet,barbabietola,beterraba,zuckerrüben&rote bete,甜菜,2
blette,acelga,chard&mangold,bietole&biete,acelga,mangold,甜菜,2
brocoli,brócoli,broccoli,broccoli,brocolis,brokkoli,西蘭花,2
brocoli romanesco,brócoli romanesco,romanesco broccoli,broccoli romanesco,brocolis romanesco,romanesco&romanesco brokkoli,羅馬花椰菜,2
cardon,cardo,cardoon,cardo,cardo,kardon,卡頓,2
carotte,zanahoria,carrot,carota,cenoura,möhre&mohre&karotte,蘿蔔,2
chicorée frisee,achicoria rizada,curly chicory,cicoria riccia,chicória frita,gebratener chicorée,捲曲菊苣,2
chou blanc,coliflor blanca,white cabbage,cavolo bianco,couve branca,weißkohl,白菜,2
chou chinois,repollo chino,chinese cabbage,cavolo cinese,couve chinesa,chinakohl,白菜,2
chou de bruxelles,col de bruselas,brussels sprout,cavoletti di bruxelles,couve de bruxelas,rosenkohl,小洋白菜,2
chou frise&kale,col rizada&kale,kale,kale&verza,kale,kale,羽衣甘藍,2
chou picuda,col picuda,col picuda,cavolo picuda,repolho picuda,picuda kohl,皮庫達山,2
chou rave,colinabo&colirrábano,kohlrabi,cavolo rapa&cime di rapa,grelos&couve rabano,kohlrabi,苤,2
chou rouge,col roja&col lombarda,red cabbage,cavolo rosso,couve roxa,rotkohl,紅捲心菜,2
chou&chou vert,col&repollo&berza&repollo verde,cabbage&green cabbage,cavolo&cavolo verde,couve&repolho verde,kohl&grunkohl&grünkohl&spitzkohl&wirsing,捲心菜,2
chou-fleur,coliflor,cauliflower,cavolfiore,couve-flor,blumenkohl,菜花,2
ciboulette pourpre,cebolleta morada,purple chive,erba cipollina viola,cebolinha roxa,lila schnittlauch,紫細香蔥,2
ciboulette verte,cebolleta verde,green chive,erba cipollina verde,cebolinha verde,grüner schnittlauch,細香蔥,2
citron vert,lima&lima dulce,lime,lime,lima,limette,酸橙,2
citrouille&potimarron,calabaza,pumpkin,zucca&zucche,abobora,kürbis&hokkaido,南瓜,2
concombre,pepino,cucumber,cetriolo,pepino,gurke&salatgurke,黃瓜,2
courge butternut,calabaza moscada,butternut squash,butternut,abóbora butternut,butternut-kürbis&butternusskürbis,胡桃南瓜,2
courge&potiron,delicadeza de calabaza&calabaza espagueti,squash,squisitezza,squash,squash&spaghettikürbis,壁球,2
courgette,calabacín,zucchini&courgette,zucchine,curgete&abobrinha,zucchini,夏南瓜,2
cresson,berro,cress,crescione,agrião,kresse&brunnenkresse,水芹,2
crosne,crosne,crosne&chinese artichoke,crosne,crosne,crosne,克羅斯涅,2
céleri,apio,celery,sedano,aipo,sellerie&staudensellerie,芹菜,2
céleri rave,apionabo,celeriac,radice di sedano,aipo rabano,knollensellerie,芹菜,2
cœur de palmier,corazón de palmera,palm heart,cuore di palma,palmito,palmenherz,棕櫚心,2
daikon,daikon,daikon,daikon,daikon,daikon,代空,2
edamame,edamame,edamame,edamame,edamame,edamame,毛豆,2
endive,endibia,endive,indivia,endivia,endivie&endiviensalat,菊苣,2
endive rouge,endibia roja,red endive,indivia rossa,endivia vermelha,roter endivie,紅色菊苣,2
fenouil,hinojo,fennel,finocchio,erva-doce,fenchel,茴香,2
fleur d'ail,flor de ajo,garlic flower,fiore all aglio,flor de alho,knoblauchblute,大蒜花,2
gombo,okra,okra,gombo,quiabo,okra,秋葵,2
houblon,lupula,hop,luppolo,lúpulo,hopfen,跳,2
igname,yam,name,igname,inhame,yam,名稱,2
kabocha,kabocha,kabocha,kabocha,kabocha,kabocha,卡波查,2
kumquat,kumquat,kumquat&chinese orange,kumquat,kumquat,kumquat,金橘,2
laitue&sucrine,lechuga,lettuce,lattuga,alface,salat&römersalat&kopfsalat&eisbergsalat&feldsalat&bataviasalat&lollo rosso&eichblattsalat,生菜,2
manioc,mandioca,cassava,manioca,mandioca,maniok,木薯,2
mesclun,mezclum,mesclun,mesclun,mesclun,mesclun,梅斯克倫,2
mâche,colleja,mache,lattughe,mache,mache,馬赫,2
navet,nabo,turnip,rapa&rape,nabiças&nabo,rübe&mairübe&steckrübe,蕪菁,2
oignon blanc,cebolleta blanca,welsh onions,cipolla bianca,cebola-branca,weiße zwiebel,大蔥,2
oignon nouveau&cébette,cebolleta,scallion&welsh onion,nuova cipolla,cebola nova&cebette,neue zwiebel&cebette&frühlingszwiebel,蔥,2
oignon rouge,cebolla roja,red onion,cipolla rossa,cebola vermelha,rote zwiebel,紅蔥頭,2
oignon&oignon jaune,cebolla,onion,cipolla,cebola&cebola amarela,zwiebel&gelbe zwiebel,洋蔥,2
pak choi,pak choi,pak choi,pak choi,pak choi,pak choi,白菜,2
panais,chirivía,parsnip,pastinaca,pastinaca,pastinake&petersilienwurzel,防風草,2
patate douce&kumara,boniato&patata dulce&kumara,sweet potato&kumara&batata,patata dolce&kumara,batata-doce&kumara,süßkartoffel&susskartoffel&kumara,甘藷,2
piment antillais,pimienta caribeña,caribbean pepper,pepe caraibico,pimenta das índias ocidentais,westindischer pfeffer,加勒比胡椒,2
poireau,puerro,leek,porro,alho poro,porree&lauch,韭蔥,2
poivron&poivron jaune&poivron rouge&poivron vert,pimiento&pimiento amarillo&pimiento rojo&pimiento verde,bell pepper&yellow bell pepper&red bell pepper&green bell pepper&sweet pepper,peperone&peperone giallo&peperone rosso&peperone verde,pimentão&pimentão amarelo&pimentão vermelho&pimentão verde,paprikaschote&gelber paprika&roter paprika&grüner paprika,燈籠椒,2
pomme de terre,papa&patata,potato,patata,batata,kartoffel,土豆,2
pomme de terre rouge,patata roja,red potato,patata rossa,batata vermelha,rote kartoffel,紅薯,2
pâtisson,pattypan,pattypan,patisson,patisson,patisson,帕蒂潘,2
radicchio,radicchio,radicchio,radicchio,radicchio,radicchio,拉迪基奧,2
radis,rábano&rabanito,radish,ravanello&rapanelli,rabanete,rettich&radieschen,蘿蔔,2
radis noir,rábano negro,black radish,ravanello nero,rabanete preto,schwarzer rettich,黑蘿蔔,2
raifort,rábano picante,horseradish,rafano,rabano,meerrettich,辣根,2
roquette,rúcula,rocket,rucola&razzo,rúcula,rucola,火箭,2
rutabaga,nabo sueco,rutabaga,rutabaga,rutabaga,rutabaga,大頭菜,2
salade verte&salade&feuilles vertes,ensalada verde&hojas verdes,green salad&green leaves,insalata verde&foglie verdi,salada verde&folhas verdes,grüner salat&grüne blatter,綠色的沙拉,2
salicorne,hinojo marino,samphire,salicorne,salicornia,salicornia,香波,2
salsifis,salsifí,salsifi,salsify,salsify,schwarzwurzel,薩爾西菲,2
scarole,escarola,escarole,scarola,escarola,escarole,scar蟲,2
taro&cocoyam,taro,taro&cocoyam,taro,taro&cocoyam,taro&cocoyam,芋頭,2
topinambour,topinambur,jerusalem artichoke,topinambur,alcachofra de jerusalem,topinambur,菊芋,2
tête de violon,cabeza de violín,fiddlehead,testa di violino,cabeça de violino,geigenkopf,iddle頭,2
yakon,yacón,yakon,yakon,yakon,yakon,雅康,2
échalote,chalote,shallots,scalogno,chalota,schalotte,青蔥,2
échalote rouge,cebolleta roja,red scallions,scalogno rosso,chalota vermelha,rote schalotte,紅蔥,2
épinard,espinaca,spinach,spinaci,espinafre,spinat,菠菜,2
fenugrec,fenogreco,fenugreek,fieno greco,feno-grego,bockshornklee,胡蘆巴,3
flageolet,octavín,flageolet,flageolet,flageolet,flageolett,鞭毛蟲,3
fève tonka&coumarou,tonka haba,tonka bean,fava tonka,feve tonka&coumarou,feve tonka&cumarou,零陵香豆,3
haricot azuki,azuki,azuki beans,fagiolo azuki,feijão azuki,azukibohne,小豆,3
haricot blanc&mogette,armada de frijoles&judías blancas&judiones,navy bean,fagiolo bianco,feijão branco,weiße bohne,海軍豆,3
haricot de bambara,haba de bambara,bambara bean,fagiolo bambara,feijão de bambara,bambarabohne,班巴拉豆,3
haricot de lima,alubias blancas,lima bean,fagiolo di lima,feijão de lima,limabohne,利馬豆,3
haricot mungo,frijol mungo,mung bean,fagioli verde,feijão mungo,mungobohne,綠豆,3
haricot noir,haba de tortuga negra&alubias pintas&judías pintas&frijoles,black turtle bean,fagioli neri,feijão preto,schwarze bohne,黑豆,3
haricot pinto,frijol pintó,pinto bean,fagioli borlotti,feijão pinto,pintobohne,斑豆,3
haricot plat&haricot coco,plato de frijoles,bean dish,fagioli piatti,feijão chato&feijão de coco,flache bohne&kokosnussbohne,豆碟,3
haricot rouge,poroto,kidney bean,fagioli rossi,feijão vermelho,rote bohne,菜豆,3
haricot vert,judía verde&habichuelas,green bean&runner bean,fagioli verdi&fagiolini,feijão verde,grüne bohne&bohnen grüne,綠豆,3
haricot&fève&févettes,haba,fava bean&broad bean,fagiolo&fave,feijão&fava&feve&fevettes,bohne&bohnen dicke&feve&fevette,蠶豆,3
lentille corail,lentes de coral,coral lentils,lenti di corallo,lentilha de coral,korallenlinse,珊瑚扁豆,3
lentille pardina,lentejas pardinas,pardina lentils,lenti pardina,lentilha pardina,pardina linse,帕爾迪納小扁豆,3
lentille&lentille verte,lente,lens,lenticchie,lente&lentilha verde&lentilhas,grüne linse&linsen,鏡片,3
lentilles blondes,lentes rubias,blonde lenses,lenti bionde,lentes loiras,blonde linsen,金發鏡片,3
luzerne,alfalfa,alfalfa,erba medica,alfafa,luzerne,苜蓿,3
petit pois,guisante,pea,pisello,ervilha,erbse&kaiserschote,豌豆,3
pois casse,de guisante,split pea,pisello spezzato,ervilhas quebradas,erbse gespalten,豌豆,3
pois chiche,garbanzo,chick pea,ceci,grão de bico,kichererbsen,鷹嘴豆,3
pois d'angole,arveja,pigeon pea,piselli piccanti,ervilha-de-pombo,taubenerbse,木豆,3
pois gourmand,guisante gourmet,greedy bean,piselli dolci,ervilha doce,edelwicken,貪心豆,3
pois mange tout,guisante de nieve,snow pea,piselli neve,ervilha da neve,schneeerbsen,雪豆,3
soja texture,soja texturizada,textured soybeans,soia strutturata,soja texturizada,strukturierte sojabohnen,大豆,3
soja vert,soja verde,green soy,soia verde,soja verde,grüne sojabohnen,綠豆,3
soja&germes de soja,haba de soja&soja,soy,soia,soja&broto de feijão,sojabohnen&sojabohnensprossen,黃豆,3
tofu,tofu,tofu,tofu,tofu,tofu,豆腐,3
bolet,boleto,boletus,boletus,boleto,steinpilz,牛肝菌,4
champignon&champignon de paris,seta&hongos&champiñones,mushroom,funghi,cogumelo,champignons,蘑菇,4
chanterelle&girolle,cuerda&níscalos&rebozuelo,chanterelle,finferli,chanterelle,pfifferling,雞油菌,4
cèpe,cep,cep,porcini,cepe,cepe,藤蔓,4
enokitake,enokitake,enokitake,enokitake,enokitake,enokitake,江之竹,4
matsutake,matsutake,matsutake,matsutake,matsutake,matsutake,松茸,4
morille,morel,morel,morel,morel,morchel,羊肚菌,4
pied de mouton,pied de mouton,pied de mouton,pied de mouton,pied de mouton,pied de mouton,皮德木桐,4
pleurote,pleuroto,pleurote,pleurote,cogumelo ostra,austernpilz,胸膜肺炎,4
portobello,portobello,portobello,portobello,portobello,portobello,貝羅貝洛,4
shiitaké,shiitake,shiitake,shiitake,shiitake,shiitake,香菇,4
shimeji,shimeji,shimeji,shimeji,shimeji,shimeji,姬路,4
truffe,trufa,truffle,tartufo,trufa,truffel,松露,4
amande,almendra,almond,mandorla,amêndoa,mandel,杏仁,5
cacahuète&arachide,cacahuete&maní,peanut,arachidi,amendoim,erdnuss,花生,5
marron&châtaigne,castaña,chestnut,marrone&castagne,castanha,kastanie&marone,板栗,5
noisette,avellana,hazelnut,noce&nocciola,avelã,haselnuss,榛子,5
noix,nuez&nueces de nogal,walnut&nuts,noci,noz,walnuss,核桃,5
noix de bétel,nuez de betel,betel nut,noci di betel,noz de betele,betelnuss,檳榔,5
noix de cajou,anacardo,cashew,anacardi,caju,cashewnuss,腰果,5
